NOM,TYPE VARIABLES,TYPE DE DONNEES,ADRESSE,COMMENTAIRES
Rfid_Execute_Lecture,Table de variables standard,Bool,%M400.4,
Rfid_Execute_Ecriture,Table de variables standard,Bool,%M400.5,
Rfid_Lecture_Tag,Table de variables standard,Bool,%M400.6,
Rfid_Ecriture_Tag,Table de variables standard,Bool,%M400.7,
Rfid_Type_Produit,Table de variables standard,Int,%MW408,
Rfid_Num_Commande,Table de variables standard,Int,%MW410,
Rfid_Date_AAAA,Table de variables standard,Int,%MW412,
Rfid_Date_MM,Table de variables standard,Int,%MW414,
Rfid_Date_JJ,Table de variables standard,Int,%MW416,
Rfid_Num_Tag,Table de variables standard,Int,%MW418,
Rfid_Tag_Present,Table de variables standard,Bool,%M401.0,
Rfid_Option_Active,Table de variables standard,Bool,%M401.1,
Rfid_RAZ_Saisie,Table de variables standard,Bool,%M401.2,
Rfid_AAAA_Saisie,Table de variables standard,Int,%MW420,
Rfid_MM_Saisie,Table de variables standard,Int,%MW422,
Rfid_JJ_Saisie,Table de variables standard,Int,%MW424,
Rfid_HH_Saisie,Table de variables standard,Int,%MW426,
Rfid_MN_Saisie,Table de variables standard,Int,%MW428,
Rfid_Valider_Date,Table de variables standard,Bool,%M401.3,
Rfid_Parametre_Date,Table de variables standard,Bool,%M401.4,
Rfid_Date_Conditionnement,Table de variables standard,Date,%MW430,
Rfid_Num_Serie_D,Table de variables standard,DInt,%MD432,
Rfid_Num_Serie_G,Table de variables standard,DInt,%MD436,
Rfid_Type_prod_lecture,Table de variables standard,Int,%MW440,
Rfid_Num_com_lecture,Table de variables standard,Int,%MW442,
Rfid_JJ_lecture,Table de variables standard,Int,%MW444,
Rfid_MM_lecture,Table de variables standard,Int,%MW446,
Rfid_AAAA_lecture,Table de variables standard,Int,%MW448,
Rfid_Num_Tag_Lecture,Table de variables standard,Int,%MW450,
Rfid_Font_RAZ,Table de variables standard,Bool,%M401.5,
Rfid_Défaut_Tag,Table de variables standard,Bool,%M401.6,
Code_Erreur_WTT12,Table de variables standard,Int,%MW168,
Tag_1,Table de variables standard,Bool,%M256.0,
Mémo_Reposition,Table de variables standard,Bool,%M304.7,
Mémo_Mesure_Pot,Table de variables standard,Bool,%M305.0,
Mémo_produit_Pris,Table de variables standard,Bool,%M305.1,Produit dans le préhenseur
Dernier_Produit_Pris,Table de variables standard,Int,%MW272,
Memo_Rack_Vide,Table de variables standard,Bool,%M305.2,
Mémo_Recherche_pot,Table de variables standard,Bool,%M305.3,
Index_Rangee_Z,Table de variables standard,Int,%MW274,
Index_Colonne_X,Table de variables standard,Int,%MW276,
Front_I2.6,Table de variables standard,Bool,%M305.4,
front_I2.7,Table de variables standard,Bool,%M305.5,
Sortir_Vérin_AxeY,Table de variables standard,Bool,%M305.6,
Rentrer_Vérin_AxeY,Table de variables standard,Bool,%M305.7,
Position_Pot1_Pot2,Table de variables standard,Int,%MW172,
Pression_Système,Table de variables standard,Real,%MD174,
Seuil_Pression_1,Table de variables standard,Bool,%M306.0,
Seuil_Pression_2,Table de variables standard,Bool,%M306.1,
Position_Init_Y,Table de variables standard,Bool,%M306.2,
Front_Init_Coordonnees,Table de variables standard,Bool,%M306.3,
Front_Z_Atteint,Table de variables standard,Bool,%M50.3,
Freint_Axe_Z,Table de variables standard,Bool,%M50.4,
Time_Cadence_Pot,Table de variables standard,DInt,%MD308,
Cadence_Pots,Table de variables standard,Int,%MW312,
Aspiration_ON,Table de variables standard,Bool,%M306.4,
Soufflage_ON,Table de variables standard,Bool,%M306.5,
Presence_Air,Table de variables standard,Bool,%M306.6,
Front_Presence_Air,Table de variables standard,Bool,%M306.7,
Front_Absence_Air,Table de variables standard,Bool,%M307.0,
Stop_Axe_X,Table de variables standard,Bool,%M504.1,
Front_Stop_X,Table de variables standard,Bool,%M50.5,
Axe_Z_Rangé_+1,Table de variables standard,Bool,%M55.4,
Front_Rangée_+1,Table de variables standard,Bool,%M50.6,
Mémo_demmande_Acces,Table de variables standard,Bool,%M50.7,
Mémo_Fin_P_pot,Table de variables standard,Bool,%M51.0,
Mémo_Fin_G_pot,Table de variables standard,Bool,%M51.1,
Vitesse_Retour_X,Table de variables standard,Int,%MW336,
Mémo_En_Pause,Table de variables standard,Bool,%M51.2,
Pot2_Pris,Table de variables standard,Bool,%M55.5,
Dernier_Pot,Table de variables standard,Bool,%M55.6,
Axe_Y_Rentré,Table de variables standard,Bool,%M55.7,
Supervision_Active,Table de variables standard,Bool,%M31.0,
Accumulation_Interne,Table de variables standard,Bool,%M321.7,
Front_Mont_Accu_Interne,Table de variables standard,Bool,%M307.1,
Front_Desc_Accu_Interne,Table de variables standard,Bool,%M307.2,
